"Note","Dezimal","Prozent (Schwelle ab)","Prozentbereich (ca.)"
"1","1.00","96","96–100%"
"1−","1.25","91","91–95%"
"1−2","1.50","86","86–90%"
"2+","1.75","81","81–85%"
"2","2.00","76","76–80%"
"2−","2.25","71","71–75%"
"2−3","2.50","66","66–70%"
"3+","2.75","61","61–65%"
"3","3.00","56","56–60%"
"3−","3.25","51","51–55%"
"3−4","3.50","46","46–50%"
"4+","3.75","41","41–45%"
"4","4.00","36","36–40%"
"4−","4.25","31","31–35%"
"4−5","4.50","26","26–30%"
"5+","4.75","21","21–25%"
"5","5.00","16","16–20%"
"5−","5.25","11","11–15%"
"5−6","5.50","6","6–10%"
"6","6.00","0","0–5%"
